GL Account,Group
656014050,750-Prov./General
1010500000,others
1010900000,others
1410900000,others
1610900000,others
1010400000,810-SAP Re-Allocation
111270,810-SAP Re-Allocation
1410100000,810-SAP Re-Allocation
151260,810-SAP Re-Allocation
1620900000,810-SAP Re-Allocation
720200000,810-SAP Re-Allocation
153000,910-HR-Accrual-ST
153050,910-HR-Accrual-ST
153100,911-HR-Accrual-YE
153150,911-HR-Accrual-YE
151470,920-HR-Bonus
111420,929-HR Others
111450,929-HR Others
151050,929-HR Others
151064,929-HR Others
151500,929-HR Others
153200,929-HR Others
153260,929-HR Others
139001,others
12001,others
12009,others
22001,others
22009,others
22021,others
22029,others
23101,others
23109,others
24031,others
24039,others
24041,others
24049,others
24051,others
24059,others
25011,others
15021,others
1526100000,others
1530001000,others
1530004300,others
1530005150,others
1530005550,others
166610,others
101000,others
101200,others
102000,others
111470,209-AR-Others
151230,209-AR-Others
38001,209-AR-Others
102400,others
102410,others
102420,others
141000,others
141200,others
161020,others
162020,others
162120,others
222060,others
161060,others
161070,others
161090,others
162060,others
162090,others
133030,others
133040,others
133060,others
133070,others
151290,others
133000,others
133010,others
41000,400-Equity/General
44040,400-Equity/General
44060,400-Equity/General
44140,400-Equity/General
44150,400-Equity/General
44160,400-Equity/General
44170,400-Equity/General
44191,400-Equity/General
56000,400-Equity/General
56100,400-Equity/General
56250,400-Equity/General
56261,400-Equity/General
0BSRESULT,others
213000,500-CA/EcoPeriod
213100,500-CA/EcoPeriod
213200,500-CA/EcoPeriod
221021,599-CA/General
221023,599-CA/General
221024,599-CA/General
221031,599-CA/General
621001000,600-Tax direct
621004050,600-Tax direct
621004300,600-Tax direct
629301000,601-deferred Tax
629501000,601-deferred Tax
629511000,601-deferred Tax
629601000,601-deferred Tax
111000,620-Tax indirect
111300,620-Tax indirect
111350,620-Tax indirect
151200,620-Tax indirect
151510,620-Tax indirect
112020,640-Duty/Customs
81030,640-Duty/Customs
81110,640-Duty/Customs
101400,others
141400,others
161500,others
162500,others
101120,others
101430,others
123020,others
63290,others
82100,others
151170,others
63030,others
63040,others
63280,others
81020,others
81060,others
81090,others
81150,others
81190,others
82040,others
151180,721-Accruals/Audit
631701000,750-Prov./General
631704050,750-Prov./General
631704200,750-Prov./General
631704300,750-Prov./General
133030,others
133070,others
135000,others
151290,others
133010,others
133000,others
133009,others
133030,others
133050,others
135020,others
135070,others
135080,others
133004,others
133024,others
133034,others
133030,others
133050,others
133024,others
133031,others
133034,others
151290,others
1010900000,others
1410900000,others
1610900000,others
1665900000,others
720390000,others
1554401000,others
1554403200,others
101001,810-SAP Re-Allocation
1010400000,810-SAP Re-Allocation
1010410000,810-SAP Re-Allocation
101110,810-SAP Re-Allocation
111270,810-SAP Re-Allocation
1410100000,810-SAP Re-Allocation
141110,810-SAP Re-Allocation
151260,810-SAP Re-Allocation
1620900000,810-SAP Re-Allocation
1526000001,820-Re-Classifications
1526000002,820-Re-Classifications
1526000003,820-Re-Classifications
1526000004,820-Re-Classifications
1526000005,820-Re-Classifications
1666000001,820-Re-Classifications
1666000002,820-Re-Classifications
1666000003,820-Re-Classifications
1666000004,820-Re-Classifications
380010000,820-Re-Classifications
380010001,820-Re-Classifications
380010002,820-Re-Classifications
380010003,820-Re-Classifications
380010005,others
151620,900-Insurances
153060,911-HR-Accrual-YE
153100,911-HR-Accrual-YE
151470,920-HR-Bonus
153070,920-HR-Bonus
151570,929-HR Others
153080,929-HR Others
153260,929-HR Others
153270,929-HR Others
12001,others
12009,others
13011,others
13019,others
16001,others
16009,others
21011,others
21019,others
21031,others
21039,others
21041,others
21049,others
21051,others
21059,others
22001,others
22009,others
22021,others
22029,others
23101,others
23109,others
24001,others
24009,others
24031,others
24039,others
24041,others
24049,others
24051,others
24059,others
24101,others
24109,others
24201,others
24209,others
24211,others
24219,others
25001,others
14021,others
15021,others
31001,others
1526100000,others
1530001000,others
1530004300,others
1530005100,others
1530005150,others
1530005550,others
166610,others
301110,150-Inventory
101000,others
101100,others
101200,others
